gene,R_E60_1,R_E60_2,R_E60_3,R_E60_4,R_D1_1,R_D1_2,R_D1_3,R_D7_1,R_D7_2,R_D7_3,R_D28_1,R_D28_2,R_D28_3,R_Y1
ALB,0,0.022803,0,0,0,0,0,0,0,0,0,2.551133,0,0
LOC101113601,553.831726,293.419769,99.012482,157.380737,374.30896,600.514404,1015.106995,3117.81543,5918.834961,4181.563965,5694.266113,5820.856445,8542.365234,22673.17773
LOC101102683,7908.171875,13137.3252,3319.655762,36460.89844,398.197449,539.345154,272.21759,77.038361,34.885757,103.944679,1132.680054,697.505066,4.055883,2.181545
LOC101102413,0,0,0.079072,0,0,0,0,0,0,0,26.546989,0.602498,0.050846,0
LOC101120204,0,0,0,0,0.194388,0,0,0,0,0,0.103179,0.467545,0,0
AHSG,28.638496,30.852167,28.038225,9.016043,131.365906,53.275936,82.462387,110.255318,61.550541,66.486458,143.823929,119.219017,156.227921,32.025936
LOC105601867,0,0,0,0,0,0,0,0,0,0,0.103018,0.438324,0,0.243295
FGB,1.715291,1.648105,2.091039,0.798882,0.739225,0.278234,0.181985,0.125111,0.093263,0.057913,0.432746,0.647163,0.259433,0.293588
KRT17,752.69458,923.050659,790.963623,291.640991,217.99469,628.423767,286.810333,2766.244385,2547.561279,899.538025,3588.24707,5249.46582,9355.833984,8215.350586
FGG,0.545116592,0,0.240885387,0.114358748,0.296279102,0.043861337,0.157064188,0.082815516,0.08874407,0,0,1.121956689,0,0
APOA2,0,0,0,0,0,0,0,0.262528,0,0,0,0.142186,0,0
PRD-SPRRII,0,0,0,0,0.105827,0.171195,0.598763,89.854317,25.792997,21.767254,7492.851562,6563.3125,740.83429,267.570282
ORM1,0,0.033956662,0,0,0,0,0,0,0,0,0.143138936,0.046907887,0,0
FGA,0,0,0,0.050145,0,0,0,0,0,0,0,0.276947,0,0
LOC101102714,33.99308,43.7682,10.457253,86.108467,16.553259,7.481658,66.730164,1749.361328,138.311859,785.774719,4155.706055,7928.78125,330.369873,242.546021
HPX,0.297129,0.412777,0.256647,0.280496,0.240912,0.503398,0.321601,0.064476,0.135498,0.103163,0.241517,0.637841,0,0
TTR,0,0,0,0,0,0,0,0,0,0,0.096967,0.436469,0,0
LOC101109132,3953.286133,4565.452637,4271.360352,3925.252686,4896.254883,4925.109375,5564.123047,4616.833984,4837.019531,3960.370605,1948.295654,1956.217285,4523.892578,5554.737793
KRT36,1.114379,0.998948,0.356562,0.498957,1.251469,3.039337,3.102091,171.394196,190.436722,67.308815,1051.711792,2373.949707,1666.160034,849.401611
FABP4,5.167922,6.307628,4.1892,9.922132,39.287903,4.052356,56.814194,2001.778076,2238.954346,2139.624023,1795.500732,1595.166016,4170.393066,3030.088379
C14H19orf33,503.15921,812.346497,417.126221,1678.28894,112.862778,71.987267,165.707794,191.051575,85.049911,149.760956,133.861618,193.572708,146.75531,78.196442
APOH,0.049159,0,0,0,0,0,0,0,0,0,0,0.271171,0,0
CYP2E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBP,0,0.150609,0.037279,0.863186,0,0,0,0,0,0,0.037629,0.368876,0,0
SERPINA1,21.1596955,45.28292359,32.76476767,7.214129501,30.71903265,29.28312308,8.6497712,1.796854705,0.393697141,1.992282494,0.302674562,1.461316483,0.437223297,0.035708026
SPARC,285.6911206,299.3137807,258.0060719,205.8610388,34.70287595,38.92874134,21.09830723,102.1030342,73.51205638,49.20047154,3259.320633,2701.389145,9.319598851,0.532819499
LOC101116248,0,0,0,0,0,0,0,0,0,0,0.087142,0.349086,0,0
GC,0,0,0,0,0,0,0,0,0,0,0,0.215954,0,0
TFF3,869.981995,746.499084,911.288269,1249.3125,439.679932,270.889191,402.968506,235.726791,308.341217,291.906952,0.113922,7.238808,0.724272,35.209885
VTN,0,0,0,0,0,0,0,0,0,0,0.025287,0.03898,0,0
TF,4.678152,4.101017,5.774974,3.275553,7.358768,7.880244,7.567753,9.776837,8.800829,8.744926,9.985034,11.044922,7.718729,6.438456
S100A2,5190.220989,6274.376955,5614.592916,7371.294595,3068.335271,2650.60245,2369.788945,3769.165135,3093.136558,3000.334272,894.7006348,1953.611556,2471.750993,3793.144306
SPP2,0,0,0,0,0,0,0,0,0,0,0,0.077465,0,0
APOC3,0,0,0,0,0,0,0,0.090078,0,0,0,0.454239,0,0
LOC101117184,3.377862,4.130888,1.699075,1.217521,3.412749,5.159795,0.707825,0.530286,1.38482,0.707374,2.021992,2.572493,3.379113,4.636957
LOC101115576,0,0,0,0,0,0,0,0,0,0,0.018497,0.137876,0,0
LOC101117112,0.068037,0.223225,1.008676,11.61895945,0.553613,0.222617,0.609751,55.31336997,108.7218753,131.8495665,108.3224982,206.3711969,13.74239795,32.48231479
C3,10.378417,5.079562,4.212626,5.813836,1.869205,1.386733,1.914914,3.011552,2.340311,3.682739,36.650467,38.320034,2.867838,7.037356
HMGCS2,1.540889,0.296592,0.70314,0.364748,10.504514,16.982798,36.778286,265.987885,342.187622,222.970673,635.926575,678.139526,2439.693359,1488.055664
LOC101106199,958.355713,172.404526,256.333862,1438.68396,1.350915,0,0,0,0,0,0,0,0,2.994833
CRP,0,0,0,0,0,0,0,0,0,0,0,0.077813,0,0
RBP4,4.666544,4.649945,2.060449,5.145541,0.725578,1.329939,0.611204,5.300146,7.901333,4.589346,88.206741,46.516064,10.9803,21.258894
EGR1,1475.190552,1440.63147,1330.719727,512.814636,1395.22168,2172.452393,924.557373,390.863892,636.509583,668.139038,18.392673,10.39497,872.178955,640.805847
DLK1,59.999218,65.811935,61.271824,41.222187,12.884069,43.951572,21.430035,2.027596,0.273812,0,162.547943,211.488541,0.596857,0
LECT2,0,0,0.055341,0,0,0,0,0,0,0,0,0,0,0
F2,0.022516,0,0.011309,0.135983,0.052298,0,0,0,0,0.053352,0.012228,0.02817,0,0.062994
LOC105613035,2.082963,0.836174,0.41741,3.287192,0.127239,0.139328,2.742767,6.382339,2.298743,3.308713,522.64978,557.514771,51.176804,17.88625
LOC105615730,0,0,0,0,0,0,0,8.7865,5.334739,0.861713,1700.019653,1159.379272,148.85675,38.517597
A1BG,0.676226,0.599263,0.417652,0.388447,0.312444,0.346919,0.343138,0.605061,1.188065,0.440002,0.964662,0.739707,1.33407,1.445419
PLG,0,0,0,0.052771,0.018033,0,0,0.23405,0.084859,0.037475,0,0.095031,0,0
EMP1,890.311035,1287.474976,548.063721,2656.401123,439.256042,431.277222,365.303497,414.145996,244.844681,551.71051,84.972145,183.508194,163.212372,127.200989
LOC101113771,0,0,0,0,0,0,0,0,0,0,0.066821,0.227857,0,0
LOC101110758,1052.880371,1249.047974,1278.898438,1099.564819,1125.986206,1025.389893,1394.633301,945.871643,1183.57605,1004.426697,446.904785,641.866394,1135.255371,1552.80249
LOC101122601,1098.983521,1247.832886,1341.626831,932.369568,1280.854004,1091.209351,1355.925171,1025.046143,1203.537598,974.694336,461.730499,524.651917,1281.046387,1552.737549
TPT1s,795.913147,795.65387,684.138489,1372.424683,642.359009,700.755676,853.038147,525.238708,680.252136,662.420471,336.51297,498.052521,514.035828,804.732056
LOC101119509,0,0,0,0,0,0,0,0,0,0,0,0.105089542,0,0
CFB,5.229664,1.752308,0.381025,2.388126,0.523071,0.637452,0.395254,1.028384,1.323419,0.56016,3.748061,4.111412,0.298624,8.018883
FGL1,0,0.179924,0.133344,0,0.309634,0,0.763128,0.107032,0,0.350128,2.446569,0.611954,0,0.137365
SERPINC1,0.166666,0.194947,0.054351,0,0.076053,0.194013,0.040637,0.153528,0.035534,0.081175,0.223755,0.224844,0.168769,0.226207
LOC101104114,30.130514,21.694885,27.871557,12.406731,9.24417,13.252128,51.508247,1062.641235,173.957474,603.231201,704.574036,1409.366821,364.609222,244.515335
LOC101102990,449.778992,472.260803,519.572693,437.229401,855.259033,681.149353,761.247375,1003.179993,1192.123291,862.436523,883.678162,644.056396,1378.975586,1406.420288
TGM3,2.265961,1.505093,1.952525,1.084024,64.647888,125.505035,135.429138,1447.66333,312.375549,771.307434,102.084312,553.361145,268.917114,185.82045
FOS,2138.20874,1997.261719,2257.73999,1232.791138,2394.927734,3433.160645,1684.185059,671.489563,842.32428,1048.75,25.107622,17.470171,1087.909302,938.643982
GSTA1-1,0.34044,0.537336,0.407715,0.264815,1.032609,3.563439,1.835334,1.187902,1.857169,4.336394,2.235641,1.114541,1.638539,0.321714
KRT79,1.045116,0.906164,1.250869,0.356613,4.233339,2.183368,2.680703,27.287268,54.179394,22.575056,101.339241,303.748474,557.7146,1368.189331
C9,0,0,0,0,0,0.031288,0,0.029493,0,0,0,0,0,0
ITIH3,0,0,0,0.011642,0,0,0,0,0,0,0.019124,0.108614,0,0
COL17A1,432.82785,413.705078,544.335876,214.079697,909.588684,1281.407715,904.211548,316.408356,657.154236,332.517517,67.546844,70.592384,234.764954,235.518921
TPM1,28.01141651,35.6481913,26.51696696,16.63963635,75.80772382,43.89792416,14.92189724,7.481352797,11.46576221,7.000133114,1725.222677,809.95805,6.361021685,7.741113525
FABP1,0,0,0,0,0,0,0,0,0,0,0,0.263955,0,0
ADH1C,2.733592,1.393211,2.671937,0.990976,34.937683,55.692257,32.842503,68.400864,77.912018,54.016636,138.091721,87.396454,295.591034,597.670837
APOC4,0,0,0,0,0,0,0,0,0,0,0,0.234261,0,0
LOC101108797,659.48822,105.267273,143.280243,1016.546265,1.173601,0.67927,1.969515,8.295496,4.376762,4.475832,5.030715,7.107912,2.322852,3.218993
ZFP36,2016.202148,2192.360352,2203.474365,1053.42334,1861.277588,3950.65918,1469.797607,465.249634,537.734741,876.884949,43.032276,48.805328,756.600891,782.650208
SERPINF2,0.105602,0.283992,0.558228911,0.30871997,0.4550106,1.406528903,0.320968188,0.820286468,0.344232,0.899616122,1.771789,0.566432354,0.043793,0.136879
HPD,0.101567,0.187763,0.197861,0.216231,0.220701,0.275342,0.737553,0.150027,0.614452,0.104853,0.23458,0.548852,1.10463,0.077733
RPS15,1237.895386,1530.206055,1659.638428,1356.031128,1442.089111,1410.512939,1794.477661,1246.232788,1645.702515,1518.129883,575.934753,759.933228,1372.6875,1543.664429
LOC101119757,448.750031,382.91806,536.241333,270.187653,797.4646,475.955933,712.699341,713.302124,1072.945312,833.174072,511.262939,605.061646,933.763428,1041.900513
LOC101104943,0.611647796,0.438994145,0.448987444,0.531393078,0.283202401,0.240855477,0.386131856,0.088069457,0.165514014,0.039120968,0.084971384,0.160504401,0.311891817,0.029582927
LOC101110773,1.925431,2.092392,3.021241,0.803697,2.37939,2.223763,4.417869,0.872454,1.556856,2.396436,0.234148,0.891712,0.485228,2.031875
PI3,238.234055,195.446472,64.86853,480.257019,8.993615,1.27553,1.533518,1051.713013,127.993446,455.039154,210.004562,567.423584,6.125964,20.896999
TACSTD2,800.073364,906.949829,581.23999,879.117676,231.525635,344.19519,246.32251,210.709076,192.422668,310.705505,158.013962,240.601761,167.007919,179.156082
LOC101114082,202.028137,252.156479,210.123535,402.180847,353.60968,354.347656,457.940216,577.012024,755.025757,509.641052,441.555481,535.244385,1279.644897,1304.487305
HRG,0,0,0.030331,0,0,0,0,0.379128,0,0,0.318946,0.074061,0.158497,0
ITIH1,0,0,0,0,0,0,0,0,0,0,0.006082,0,0,0.040526
ALDOB,0.033493,0,0,0.077308,0,0,0,0.035352,0,0,0.032705,0,0,0
LOC101115527,145.380768,192.799637,79.796982,445.303497,31.548845,36.25351,85.973457,322.33017,75.112358,370.202759,301.700348,406.022827,163.21521,53.927952
PON1,0.877124,1.982603,2.271883,0.480306,4.064398,2.854195,3.283454,0.359999,1.20671,0.5169,0.041597,0.047123,0.691796,0.340234
PITX1,518.075806,709.455688,440.574829,972.289856,500.627899,495.837769,444.172516,537.972656,452.166229,410.720825,407.75528,300.158112,428.166992,281.138092
AQP5,8.953036713,1.972067641,8.676566404,3.080216045,86.50922966,89.18447839,66.04319601,393.1002728,170.6236249,304.2728266,140.2809109,101.7937985,176.1090981,284.478504
LOC101107119,0.59401718,0,0.481415228,0.148732292,30.73218075,4.296822539,12.426509,429.6472634,244.9250956,378.1125945,643.6253017,668.6182867,925.7916585,777.1006237
LOC101112590,0.344651,0.123446,0.337344,0.066055,0.748916,0.279011,0.322156,2.097982,0.188422,0.766594,2.677176,1.029684,7.674864,4.159375
CFI,0.410421,0.181842,0.025067,0,0,0,0.030932,0,0.083431,0,0.628626,0.840434,0,0.026869
LOC101122940,12.00727087,16.87756296,8.666763587,70.98968592,14.95013431,21.87384668,32.06683051,55.61014839,12.12967622,24.14162978,191.1189716,177.38213,3.056204653,1.03239976
CP,0,0.034223713,0.008714479,0.009867678,0.011505089,0,0,0.006421879,0.007817988,0.017876501,0.076764673,0.182774374,0,0.014511441
ITIH4,0.368435897,0.326701612,0.369818416,0.291267161,0.634188775,0.596379763,0.624358592,1.024525624,0.953034649,1.117318053,0.574757016,1.084028625,1.132824543,0.410968035
LOC101111190,0,0,0,0,0,0,0,0,0,0,0,0.084761,0,0
ANXA1,1947.764404,1993.097534,1413.468262,3608.783691,1135.04126,782.312256,1791.304565,3806.237793,1358.026611,2683.056396,1190.939819,2860.119385,1029.40271,1360.757202
SERPING1,13.685311,13.576525,10.331287,10.761512,11.076482,18.251463,5.175442,3.024219,6.146071,3.906367,117.343758,60.297668,0.953109,4.171537
CAT,51.83903178,52.95177181,62.55715035,33.91126866,69.35307674,52.64309585,57.07280824,62.28339101,71.89246934,56.57740556,42.79533689,43.21543038,93.59156123,83.56366464
IGFBP1,0,0,0,0,0,0,0,0,0.040213,0,0,0,0,0
SERPINA5,0,0,0,0.040615,0,0.08844,0,0,0,0,0,0.028548,0,0
DCN,168.4978034,198.6999184,201.1276384,122.614362,123.1779047,100.8477861,93.99324689,61.18108206,71.59655827,30.66554697,260.0109246,368.2482822,11.88628227,0.679369953
SOCS3,402.741028,361.059753,510.891968,110.652336,548.198547,810.081177,319.245544,94.266373,133.026138,151.314865,3.882159,9.534601,246.286362,267.173248
CYB5A,132.259506,113.024818,155.845444,107.582458,130.265106,96.391739,102.196365,105.469307,84.657433,92.01506,125.500313,113.810791,217.524948,223.55394
SERPIND1,0.091999,0.044668,0.045692,0.067567,0,0,0,0.030045,0.045392,0,0.064228,0.057178,0.036237,0.020889
ITIH2,0.037744,0,0.023791,0.013356,0,0,0.010815,0.032493,0.012414,0,0.144939,0.021361,0.043671,0
LOC101111992,54.161999,48.747013,68.041435,26.395878,94.118591,59.553978,121.264137,268.097076,472.220428,339.793579,183.763428,229.605423,785.351379,526.00354
PCK1,0.024501,0.255212,0.409277,0.051464,0,0,0.016534,0,0,0,7.614168,0.210704,0.105753,0.299758
PERP,1179.537109,1138.807495,966.486572,1356.771606,611.316101,624.715637,630.238037,612.053711,493.344025,605.424377,465.074707,782.691406,563.953674,434.351135
LOC105615733,0,0,0,0,0,0,0,19.946928,2.645579,2.126661,761.028503,552.40448,36.591927,11.170424
APOBEC2,3.188715,2.68782,3.320736,3.32266,2.265934,1.735497,1.895826,1.402895,1.181906,1.307673,2.467701,2.010495,1.350795,1.259984
LBP,0,0.021142,0,0,0,0,0,0.816751,0.26421,0.366983,1.14876,9.780859,0.374886,0.529457
LOC101123672,3.034619,1.466576,1.009185,5.061612,0.260993,0.400556,0.354712,0.413766,0.226966,0.582372,31.190258,17.55851,0.165622,0.164009
LOC106991688,148.90416,179.047394,165.916321,121.417999,143.634918,205.352417,139.193039,146.312469,181.21582,198.071457,297.462311,172.807861,246.20752,95.200729
KLHL41,35.789143,43.113117,17.262707,70.006836,12.701176,2.939428,4.726997,3.492145,0.97083,4.43065,4.653484,6.171404,0.153934,0.201619
UBB,1862.190063,1690.714355,1864.926025,1374.343994,1408.377563,1803.559814,1988.189331,1946.403809,2522.861572,2884.731445,831.929199,907.058594,2446.740967,2330.813477
LOC101119895,0,0,0,0,0,0,0,0,0,0,0,0.083363,0,0
IGFBP4,31.226765,33.98225,34.510071,19.585447,14.768794,16.787685,13.215761,12.721686,9.638341,7.215008,319.58017,230.380356,2.555169,0.242903
ALDH1L1,0.378361,0.843981,0.32626,1.347869,0,0.145836,0.047022,0,0.016084,0,2.321901,0.075419,0.026058,0
FMO1,0.024091,0,0.052414,0,0.271437,0.043511,0.09793,0.16711,0.17031,0.14599,0,0,0,0
FABP5,793.415955,627.511108,904.554382,375.374207,1259.533081,523.233276,911.309753,1341.308472,1853.566895,1574.103638,919.654297,1265.554077,1665.271729,2191.551025
UPP1,28.988789,63.551502,17.763504,135.107346,17.1796,4.36085,20.76857,326.633789,29.99243,194.787704,61.033516,98.758308,4.704516,5.03029
FETUB,0,0,0,0,0,0,0,0.122129,0,0,0,0.088293,0,0
RGN,3.615214205,3.029144725,4.00392027,1.95975201,5.7153959,5.546354522,6.391682625,2.91822315,2.798785905,2.511398271,1.591249955,1.617487259,0.922753326,0.766499846
LOC101104808,118.873734,67.545258,227.914581,59.21629,495.449127,398.024384,507.556122,401.999115,313.873505,393.422516,167.47197,131.576248,590.321167,657.80542
TNNT1,34.83844364,41.3151343,34.8157212,59.88121344,25.91785976,23.19362156,31.73824642,4.864616985,6.176072025,4.399234019,4.422772936,4.39586119,7.582708205,3.947811481
HSD17B13,0,0,0,0.031227,0,0.203291,0.173046,17.155558,6.929404,7.251558,248.295517,192.561707,629.928345,527.98822
GATM,81.778755,56.658306,83.848976,28.170931,146.623596,90.766663,112.862823,73.035118,74.35997,68.177879,46.811169,48.703831,150.104324,107.45475
AGT,1.229066,0.49916,0.28379,0.820152,0.26945,0.425062,0.743812,0.168195,0.189759,0.642642,1.322131,0.880331,0.081052,0.041536
VIM,22.866236,24.562321,11.015747,38.786251,4.008657,2.037373,2.479499,79.045288,98.405655,113.406677,551.439514,535.43042,15.466697,29.731897
LOC101117691,2.256227,7.776928,1.30871,2.976795,22.168894,10.708885,10.350785,14.873017,8.559061,5.250593,31.902916,19.734436,120.451439,62.057446
JUN,2257.923096,2177.031982,2124.42749,745.014343,2324.36792,3585.175293,1503.143066,695.360229,1044.172363,1367.844849,76.506035,96.546669,888.899475,735.25293
LOC101119842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5,2.82969,2.815599,2.162658,2.513237,2.038155,3.734592,1.764787,2.00971,2.049206,2.077588,0.271723,0.310358,0.031047,0.191594
LOC101114533,141.006866,148.772934,163.624359,136.571472,261.225983,209.027542,268.94928,255.700867,322.597046,275.826721,251.522995,239.584671,392.553619,608.161621
LOC101117129,10.65941746,9.276205572,15.28315397,5.273575013,17.06678833,12.0556517,12.50577679,29.38708484,18.04485372,18.47945906,9.689839133,13.485073,33.65378527,12.92246711
LEAP2,0.813238,0.234319,0.280563,0.398065,0.113999,0.208764,0.353813,0.181268,0.605218,0.525679,0.720545,0.550917,0.80787,0.784024
PAH,0.34623,0.47243,0.534678,0.062489,0.147128,0.257553,0.102853,0,0,0.039294,0,0.064421,0,0
KRT7,464.463959,513.285767,439.423553,603.597595,162.518692,280.083557,122.966232,101.584061,76.331398,91.597481,5.680609,6.591265,81.704407,16.493174
LOC101117955,2.313125,5.475932,0.620515,2.676404,7.163877,9.005111,3.647661,35.910118,15.148045,15.894224,68.879486,68.948189,123.820023,115.952286
HSPA6,223.412842,201.953125,159.285019,155.196045,10.525277,200.617264,283.823914,397.156647,455.621582,720.934448,3.541714,2.819618,489.177826,787.166626
RARRES2,14.90695842,19.01024965,19.18235216,17.16781161,13.58913972,12.2693332,7.601313574,10.21471296,15.254405,8.596626735,177.7054195,149.3276039,7.170870052,8.624184926
BDH1,63.8793264,32.0420024,57.83832859,14.03755537,88.17529151,71.59217856,108.2266202,95.88183454,139.0144017,186.3040599,146.5080402,158.8722247,522.5797018,631.855216
NNAT,12.670672,16.786646,15.187576,11.331613,13.870056,6.313525,6.997166,12.153646,4.867243,7.497741,17.912495,6.688585,5.596287,5.404911
C1S,9.912258578,9.015065414,12.11421368,10.31764093,10.54902168,10.51862287,17.50425636,8.093943786,8.920736651,6.708971364,57.77383006,79.46283353,4.382405338,23.30237678
S100A4,504.493256,1240.717529,612.229004,2053.651611,55.274269,22.971571,25.217369,140.422363,55.872021,102.949524,64.526077,69.959702,54.261662,50.473858
TPPP3,11.240702,6.707985,5.544094,10.363907,10.130573,6.184154,5.725039,38.88002,18.066265,14.701896,80.607346,96.060928,22.739527,14.910231
LOC101116336,18.54386233,13.69323102,20.7025435,3.19337823,5.711321986,21.30211808,17.94538649,21.52678591,7.639081251,6.613036271,52.09689643,32.2659664,105.39976,26.15207968
CCL16,0,0,0,0,0,0,0,0.088096,0,0,0,0,0,0
LOC101106610,0.931759589,0.228738811,0.634210633,0.237735328,26.86323128,5.715484791,7.038608264,150.4432654,101.3094535,149.832383,213.7573356,299.8509802,558.9128183,388.4302303
MYLK,1.37758413,1.998700786,1.030854434,2.275207923,0.444323795,0.594555558,0.383052177,0.308812631,0.233422674,0.201943673,539.052897,387.4303163,1.524982659,2.726545481
CPS1,0,0,0,0,0,0,0,0,0,0,0,0.023187,0,0
S100A11,2095.396484,2558.344727,1813.662109,3543.500244,956.581177,741.639954,919.705139,458.45459,552.34845,667.94342,297.472931,256.151825,250.735001,196.087646
CES2,2.690032,2.850798,3.500878,3.086705,2.931124,6.322792,8.729951,59.684204,51.755478,51.406776,81.192848,97.287216,181.173309,291.199615
GSTT2B,0.543264,0.351306,0.178872,0.262798,0.059492,0.271112,0.188867,0.528635,0.060174,0,0.671648,0.178096,0.456732,0
C7H15orf48,82.186882,53.109875,67.641197,38.563766,174.304276,139.46582,215.509598,519.600647,561.91803,412.42981,306.572754,505.843536,821.060852,1040.218384
LOC101112491,98.042191,107.360741,112.425346,111.142326,207.626129,142.780487,175.434357,212.007248,229.57785,162.57309,278.185028,312.205078,485.343933,515.824524
SBSN,1.177618851,0.680744405,1.435598919,0.535904757,1.063669257,1.046581905,2.463876135,64.29579396,2.980045243,32.86972568,0.294213,1.753219635,0.225648,0.223008122
LOC101121216,0.672333,1.620893,0.585141,0.703764,1.461437,0.356056,0.503006,6.746858,24.409431,12.141698,6.067975,31.708645,4.041711,663.231812
CFD,1.820659,1.430218,0.940404,1.603963,1.146578,1.1734,0.86835,3.867832,2.970563,5.708184,21.473883,15.560726,0.918469,0.067297
C2,0.509001914,0.042562609,0,0.276753767,0.022600055,0.044697459,0,0.266066854,0.124546668,0.029294638,0.890922839,2.030352131,0.479870195,4.150787943
LOC101109111,0.208547939,0.052188682,0.08429411,0.150928263,0.834416864,0.141606525,0.470022904,1.710738538,1.06453953,3.382656405,4.191218528,4.457572186,1.114052047,0.875369291
HSPA1A,336.030363,243.9571397,147.4838842,168.7206171,42.28559816,330.4219405,334.0462691,406.7427611,525.4673471,411.017356,53.99790438,37.89176874,266.4772898,625.0466965
CLDN4,522.498596,471.367218,326.859161,381.156616,200.415787,301.586884,180.643051,221.962662,114.84182,304.797791,128.45929,215.117538,150.748596,119.842293
MBL2,0,0,0,0,0,0,0,0,0,0,0,0.00872,0,0
LOC101107947,0.038348,0.032806,0.075878,0.096634,0.405583,0,0.128662,0.084947,0.043359,0.106113,0.020517,0.091554,0.133059,0
CD74,5.603290646,8.474954012,8.082472136,10.13966996,50.33323501,29.9742924,37.33964881,978.7591146,997.7623139,1660.611783,344.3763364,363.6461502,169.6659848,52.90946572
LRG1,0,0.016281,0,0.041504,0.074632,0.058443,0,0.468771,0.075236,0.354547,1.203318,0.848595,0,0
F3,61.119812,129.188858,56.752533,43.656643,121.938713,117.782677,74.525772,37.56031,39.741142,85.11821,6.715221,11.250724,19.39842,22.468634
LOC101112345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSD17B6,2.440206102,3.060868465,1.676456359,9.085651139,1.417245516,1.397194197,1.154454624,0.892182295,0.733467307,2.996517207,0.475754383,2.62725122,0.223040212,0.048556049
CYP3A24,0.281590101,0.181552979,0.216224293,0.221342837,0,0,0.104984015,0.089294979,0,0.073786297,0.033395353,0.097033608,0.212504048,0
LOC105612165,453.658936,563.632141,1068.883911,963.828308,964.359558,502.820007,652.163879,377.022736,441.406799,711.546753,8.922839,329.559296,29.971256,714.932312
KLF5,338.0580067,299.4077526,304.3916455,258.2062773,226.5587084,255.2870898,195.0845909,137.3273458,178.7734312,161.7645674,59.65319617,98.13018631,155.41399,162.1142851
NDRG1,480.205963,453.748199,215.958252,907.6297,71.312286,74.363747,59.803852,55.342014,79.696213,53.887272,65.174553,74.011925,98.829155,67.245338
LOC101119384,0,0,0,0,0,0,0,0,0,0,0,0.102122,0,0
LOC101105863,0,0,0,0,0,0,0.118980805,0.034806641,0,0.968795648,0,0,0,0
CRYAB,11.414046,7.227504,9.488871,4.194883,1.524286,8.804608,17.385166,23.536938,51.448429,77.697472,94.110603,55.226147,88.519852,103.752998
LOC101116141,293.5142469,177.1334073,179.7008693,315.6184658,140.051071,110.253397,190.8885382,139.1714085,62.73231357,130.229027,112.8551417,214.093841,68.16635304,12.17523218
LOC101123419,2.178753286,0.970529799,0.640127418,3.342510443,0.30228126,0.33464221,0.387387172,0.429738484,0.168808034,0.323915647,22.04470293,11.97546,0.198906298,0.184593812
RPS5,2521.364502,2832.578125,3331.062744,2192.093994,3169.011963,3425.00293,4186.635254,2506.966064,3106.88623,2519.406494,1331.839111,1680.238525,3286.513672,3433.710693
LOC101115172,2.240465,0.768373,1.547302,0.369657,10.233521,16.379459,24.931072,24.873039,24.588949,36.713959,131.311676,110.779556,421.172821,464.479187
LOC105608906,277.685608,235.128632,329.91153,251.126648,358.643066,283.441986,321.83197,376.168945,382.202881,386.672882,198.258163,264.694305,412.862427,355.70163
KLF4,507.194733,562.31897,532.328918,209.536819,262.836456,366.624603,170.012802,107.066376,95.420387,154.549469,49.021095,94.953423,133.593307,113.749153
PGAM2,5.338795,3.368672,4.301553,3.036064,2.890713,3.390121,2.243338,1.567127,1.272557,1.529616,1.910415,2.042666,1.462202,0.863509
FHL1,2.652180003,2.403800071,2.265718061,1.586855356,1.539953098,1.179698017,1.021329022,2.238580505,1.309938148,0.876093968,70.05667241,44.83673004,5.338100545,5.218758065
CFH,22.565647,8.35206,16.115841,6.686252,18.782089,12.651288,15.595541,13.704743,10.381648,10.409008,16.573469,13.796722,12.743672,8.372126
LOC101108685,0,0,0,0,0,0,0,0,0,0,4.189371,1.139686,0,0.073023
SELENBP1,58.7188887,58.94042551,88.61446418,31.97727442,191.1996018,102.6180521,128.050152,842.1923695,1498.92567,682.5902962,675.0762974,689.0974474,2368.600974,2123.365025
GLUD1,20.399055,21.741272,20.856707,18.986107,22.050291,25.042765,21.006332,24.736082,24.486229,24.473104,26.120964,32.979099,34.535023,39.623516
RPL35,4865.488281,5341.015137,5459.428223,4388.48877,5236.830078,5877.043945,7021.764648,3286.583252,4476.681641,3659.363037,1967.804565,2624.441895,4084.210449,4485.911621
CA3,153.665833,354.697144,217.694534,232.346237,338.785217,487.186188,193.181625,239.915421,358.580292,458.742462,14.847914,39.219299,31.043926,0.631639
DMKN,4.242751245,2.941281744,4.774873485,0.289006214,8.490513786,3.59679356,24.15139899,393.5769911,31.76890637,259.8873713,0.929552247,15.16119891,1.769471057,0.457489002
GSN,128.647415,139.464554,124.457161,82.911308,118.16156,125.284782,77.918343,107.141441,108.780609,141.26326,333.30426,426.545013,118.353828,49.857601
LOC101119393,0.370332225,0.203530153,0.510026036,0.101526532,2.377294508,3.381218148,5.121046107,15.79656773,56.21624852,23.55521047,88.00225281,116.6316756,216.4720181,390.7109173
KNG1,0.106218878,0.072071682,0.097808779,0.019740112,1.01367802,0.724847216,1.189282257,0.898611956,0.128241669,0.402435872,0.68989162,0.987835867,0.999375102,1.257344948
FSTL1,47.54358663,38.13035325,22.11912605,29.61554336,12.88730934,8.564785824,4.544333184,16.31274965,9.125213381,11.25524975,308.3899701,200.7119874,3.697174368,1.195212947
LOC101104832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
