gene,R_E60_1,R_E60_2,R_E60_3,R_E60_4,R_D1_1,R_D1_2,R_D1_3,R_D7_1,R_D7_2,R_D7_3,R_D28_1,R_D28_2,R_D28_3,R_Y1
PPP2R2A,8.818788624,8.913133991,8.396656735,7.359390922,5.908392238,6.372673447,5.7626323,7.083167491,6.470267913,7.435921776,6.551646602,8.350594978,6.462551149,5.556547936
EGLN2,37.744373,39.16029,39.145111,27.892006,46.518021,48.785183,40.505249,37.667625,35.53455,34.827694,35.86874173,31.005341,27.864311,22.330971
ANGPT2,0.113674,0.149242,0.091209,0.139395,0.060377,0,0,0,0.077544,0.221833,3.414889,3.146317,0.085206,0
B4GALT4,12.51526644,12.7049045,13.98138479,13.13391297,6.000604238,7.989014965,5.578575099,7.056579725,4.754427517,6.638005963,4.768999033,8.24584322,3.004803784,3.513434128
LOC101107056,0,0,0,0,0.181221,0,0.042167,0.109847,0.135553,0,0,0,0,0.157992
B3GAT3,26.971397,29.027267,31.409962,24.627434,27.628542,42.066792,29.531233,20.20911,22.882753,19.343575,17.170252,16.203388,18.597553,13.506143
ABCA7,5.237936,6.491006,4.403594,10.936011,1.478492,1.629856,1.637062,1.934343,2.518285,2.586949,0.832952,0.77739,1.184407,0.38273
RAB22A,11.957309,10.059277,10.038028,9.564242,9.657046,9.929703,8.777642,9.462129,8.403582,8.338775,13.565023,15.058026,10.50132,11.728246
DOCK2,0.066997,0.054536,0.084587,0.063367,0.209036,0.063178,0.150058,7.281458,5.837987,10.419915,1.632907,1.942217,0.15693,0.604764
LOC105603956,11.318097,9.718777,12.89187,6.57114,18.935741,18.018255,14.641119,15.893019,25.992352,11.15224,8.623335,9.109624,5.38425,8.233165
ALDH1L2,0.496782,0.226213,0.068504,0.407444,0.06165,0.086631,0.073368,0.021125,0,0,3.415181,3.364663,0,0.018812
RELB,6.040754,5.481539,4.439064,4.344983,3.976547,8.239381,4.950961,4.753279,9.28005,9.587288,3.696235,4.791562,5.403419,4.863067
RNF125,1.234005,0.736384,0.882888,0.110309,0.469914,1.010784,1.418566,2.569114,3.983613,4.240582,2.751065,3.894315,9.837552,9.878408
RAD23A,21.81049798,19.41016524,19.99562436,18.17510896,26.91337809,30.45086898,26.31922594,17.71844443,25.75233419,23.99023258,16.90160913,14.09648848,21.67923127,19.33512311
THAP4,18.352966,18.999052,21.030434,15.230551,25.33345,28.495047,27.540758,23.646244,28.846592,24.315437,12.772772,13.971934,19.767067,21.594885
HCFC2,4.803256,2.220186,2.608857,3.338426,2.572538,2.944004,2.021493,3.120335,2.233838,1.734036,5.767263,5.23863,2.573169,2.952062
MEN1,19.084164,20.346693,22.126745,17.015923,22.705683,22.598549,18.494192,21.240921,24.974821,20.422533,10.652164,12.751385,17.371717,11.497989
IL36B,0.087851889,0.130321589,0.257965633,0.101761284,0.018298915,0.057316924,0.264971318,2.37530787,0.672188586,2.264413596,1.217778697,9.872977757,2.726553217,2.797654118
ZC3H4,9.990695,9.577611,10.905767,5.801711,13.702168,11.981867,8.404476,7.86035,8.643425,8.077606,6.723336,5.342353,5.337303,3.907249
ARHGAP12,8.938696943,6.809443638,8.212372386,5.52424301,4.271144036,4.526665858,4.182701624,3.205088292,3.193024677,2.698905101,2.677394277,3.020765637,2.081493849,2.204692722
YIF1A,37.64834618,42.13150015,41.3892641,46.80602283,47.97693202,46.14622446,53.22697395,58.51060858,66.39074322,47.53920544,61.08481449,54.11843761,67.40749522,62.72515824
LOC106990495,1.780202,2.883733,1.280718,9.862506,0,0.151345,0,0.262737,0.112298,0,0,0,0.037258,0
MRPL49,33.862625,35.381618,35.81995,34.509041,45.076965,43.83181,38.881058,34.387726,41.571796,37.287582,37.517036,37.580162,45.029488,36.062904
WDR37,9.366525908,8.910307761,8.572709807,9.108890729,8.800409955,10.22933824,6.521285096,6.790725602,7.729888338,9.314601974,5.842024968,6.514307949,6.388772638,6.008421946
EPHX3,5.349462,4.900815,5.056283,4.92219,3.684362,3.141457,3.666789,8.201021,5.273736,8.415354,4.336148,6.007617,2.744888,1.637461
LOC105607652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLCB2,0.034636,0.059673,0.060588,0.043981,0.105542,0.158601,0.06857,4.524721,3.112664,7.456346,1.209484,0.90018,0.317499,0.239102
DMTF1,9.446475385,5.181436992,6.421489939,7.36411237,6.218754749,5.841246747,5.549300023,3.871633437,3.361856624,3.508615392,4.457306489,3.844501756,3.517643315,3.737525632
PLEKHF1,4.829028,7.405099,4.132725,6.977605,4.708531,3.555829,2.701477,9.304753,6.185201,7.275115,11.198535,9.84279,12.072272,14.621079
POLR2C,26.269283,32.839046,29.849615,34.144676,36.46954,38.096855,30.502544,30.118326,35.404972,34.522251,25.358318,26.376511,32.521835,27.7866
TMC8,3.435157,3.041313,3.961613,1.310579,4.652461,3.720522,3.665422,6.94586,6.667542,12.981169,2.394837,2.651165,4.515462,2.231841
LMTK2,4.31865,4.119178,3.187357,3.247274,4.028176,3.673186,2.421413,3.268489,2.999187,3.630464,7.963153,9.916973,1.955542,1.301556
ABCB10,16.928154,14.370925,14.86035,19.417974,17.562086,17.190672,16.270853,17.745396,22.807737,18.511314,16.324814,17.525316,17.548676,18.728291
SSU72,33.545921,34.256573,36.10252,40.625877,42.830574,38.814812,36.618481,48.158367,46.315361,45.799458,47.465088,44.467194,60.321327,63.166462
NR1D2,7.152059,5.925586,5.539401,4.933783,4.641304,6.353502,5.28574,5.542849,5.550081,7.02875,9.550445,6.158425,5.048989,5.785103
